NATURALIST OBSERVATORY: TAXONOMY CENSUS
=======================================

[PRODUCERS FOUND]: 108
SYS             | SIG                  | VIA             | LOCATION
*               | MIGRATION            | Contains   | observatory/scenarios/test/query_test.md:64
*               | MIGRATION            | Query      | observatory/scenarios/test/query_test.md:70
*               | error                | Query      | observatory/scenarios/test/query_test.md:82
*               | error                | Contains   | observatory/scenarios/test/query_test.md:89
*               | error                | Contains   | observatory/scenarios/test/query_test.md:91
SYSTEM          | SIGNAL               | Contains   | instruments/mimic/README.md:15

[GAP ANALYSIS]
--------------------------------------------------------------------------------

ORPHANS (Produced but never Consumed):
  - DEBUG: Command
  - DEBUG: Main
  - DEBUG: Stdin
  - MIGRATION: DENIAL
  - MIGRATION: HANDSHAKE
  - MOTOR: LOCOMOTION
  - MOTOR: MANIPULATION
  - MOTOR: VOCALIZATION
  - PHYSICS: INFRASTRUCTURE
  - PHYSICS: WIRE_FORMAT
  - RANGER: INTERVENTION
  - SENSORY: TREMOR
  - STATE: IDENTITY
  - STATE: INTENT
  - STATE: PROPRIOCEPTION
  - STATE: STASIS
  - UDP: PacketReceived

HALLUCINATIONS (Consumed but never Produced):
  - *: FromVisitant
    -> Expected by: observatory/scenarios/hippolyzer_TDD_chat.md
    -> Expected by: observatory/scenarios/hippolyzer_TDD_chat.md
  - *: Heard
    -> Expected by: observatory/scenarios/hippolyzer_TDD_chat.md
  - *: MIGRATION
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
  - *: complex
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
  - *: error
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
  - *: event
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
    -> Expected by: observatory/scenarios/test/query_test.md
  - ...: ...
    -> Expected by: species/hippolyzer-client/0.17.0/README.md
  - SYSTEM: SIGNAL
    -> Expected by: instruments/mimic/README.md

[BAD TELEPLAY SUSPECTS]
Checking for verification of 'Sent' signals (checking Intent instead of Effect)...
  (None found based on heuristics)
